cid,name,category,material,shape,volume_cm3,mass_kg,install,why_for_sim,size_basis,source_tag,params
C001,TES_Ta_Absorber_Stack_side_entry,detector,Ta,x_disc_stack,15.227999999999998,0.25415531999999996,"Rigidly rotate the existing DEMO2 TES module so layer depth lies along the side-entry beam; do not change pixel count, pixel size, layer spacing, or material.",Primary 511 keV science detector and dominant detection-efficiency mass.,"Same DEMO2 TES convention: 6 layers, 376 Ta pixels/layer, 3 mm absorber depth; only global orientation changes.",DEMO2 baseline + 511-CAM stacked TES concept,"{""n_layers"": 6, ""pixels_per_layer"": 376, ""pixel_size_cm"": [0.15, 0.15, 0.3], ""disc_r_cm"": 1.8, ""disc_t_cm"": 0.3, ""x_centers_cm"": [-3.0, -1.8, -0.6, 0.6, 1.8, 3.0], ""axis_y_cm"": 0.0, ""axis_z_cm"": -5.2, ""beam_direction"": ""-x_to_+x""}"
C002,Si_Substrate_Stack_side_entry,substrate,Silicon,x_disc_stack,2.7369555198074282,0.0063743694056315,Rigidly rotated with the TES stack; each Si substrate sits downstream of its absorber along +x.,Captures substrate scattering/activation and mechanical support behind each TES layer.,Unchanged DEMO2 substrate radius/thickness; local coordinate changed only by rotation.,DEMO2 baseline,"{""n_layers"": 6, ""disc_r_cm"": 2.2, ""disc_t_cm"": 0.03, ""x_centers_cm"": [-2.82, -1.62, -0.42, 0.78, 1.98, 3.18], ""axis_y_cm"": 0.0, ""axis_z_cm"": -5.2, ""downstream_of_each_absorber"": true}"
C003,Cu_SubstrateSupport_OpenRing_L1,thermal_link,Copper,x_annulus,1.3359622759390597,0.011970221992413975,Open Cu ring immediately behind a substrate layer; it supports the substrate edge but leaves the TES/beam footprint open.,Replaces the old continuous rail with a low-Cu edge support so no copper plate lies under the whole detector stack.,"Outer radius matches 2.2 cm substrate; inner radius 1.85 cm clears 1.8 cm TES active footprint, so the requested 1 cm ring was reduced because it would cover active TES area.",User support-frame request + Cu-64 mitigation,"{""x_center_cm"": -2.65, ""r_in_cm"": 1.85, ""r_out_cm"": 2.2, ""thickness_cm"": 0.3, ""axis_y_cm"": 0.0, ""axis_z_cm"": -5.2, ""behind_substrate"": true, ""clearance_logic"": ""inner radius 1.85 cm clears TES active radius 1.80 cm""}"
C004,Cu_SubstrateSupport_OpenRing_L2,thermal_link,Copper,x_annulus,1.3359622759390597,0.011970221992413975,Open Cu ring immediately behind a substrate layer; it supports the substrate edge but leaves the TES/beam footprint open.,Replaces the old continuous rail with a low-Cu edge support so no copper plate lies under the whole detector stack.,"Outer radius matches 2.2 cm substrate; inner radius 1.85 cm clears 1.8 cm TES active footprint, so the requested 1 cm ring was reduced because it would cover active TES area.",User support-frame request + Cu-64 mitigation,"{""x_center_cm"": -1.4500000000000002, ""r_in_cm"": 1.85, ""r_out_cm"": 2.2, ""thickness_cm"": 0.3, ""axis_y_cm"": 0.0, ""axis_z_cm"": -5.2, ""behind_substrate"": true, ""clearance_logic"": ""inner radius 1.85 cm clears TES active radius 1.80 cm""}"
C005,Cu_SubstrateSupport_OpenRing_L3,thermal_link,Copper,x_annulus,1.3359622759390597,0.011970221992413975,Open Cu ring immediately behind a substrate layer; it supports the substrate edge but leaves the TES/beam footprint open.,Replaces the old continuous rail with a low-Cu edge support so no copper plate lies under the whole detector stack.,"Outer radius matches 2.2 cm substrate; inner radius 1.85 cm clears 1.8 cm TES active footprint, so the requested 1 cm ring was reduced because it would cover active TES area.",User support-frame request + Cu-64 mitigation,"{""x_center_cm"": -0.24999999999999997, ""r_in_cm"": 1.85, ""r_out_cm"": 2.2, ""thickness_cm"": 0.3, ""axis_y_cm"": 0.0, ""axis_z_cm"": -5.2, ""behind_substrate"": true, ""clearance_logic"": ""inner radius 1.85 cm clears TES active radius 1.80 cm""}"
C006,Cu_SubstrateSupport_OpenRing_L4,thermal_link,Copper,x_annulus,1.3359622759390597,0.011970221992413975,Open Cu ring immediately behind a substrate layer; it supports the substrate edge but leaves the TES/beam footprint open.,Replaces the old continuous rail with a low-Cu edge support so no copper plate lies under the whole detector stack.,"Outer radius matches 2.2 cm substrate; inner radius 1.85 cm clears 1.8 cm TES active footprint, so the requested 1 cm ring was reduced because it would cover active TES area.",User support-frame request + Cu-64 mitigation,"{""x_center_cm"": 0.9500000000000001, ""r_in_cm"": 1.85, ""r_out_cm"": 2.2, ""thickness_cm"": 0.3, ""axis_y_cm"": 0.0, ""axis_z_cm"": -5.2, ""behind_substrate"": true, ""clearance_logic"": ""inner radius 1.85 cm clears TES active radius 1.80 cm""}"
C007,Cu_SubstrateSupport_OpenRing_L5,thermal_link,Copper,x_annulus,1.3359622759390597,0.011970221992413975,Open Cu ring immediately behind a substrate layer; it supports the substrate edge but leaves the TES/beam footprint open.,Replaces the old continuous rail with a low-Cu edge support so no copper plate lies under the whole detector stack.,"Outer radius matches 2.2 cm substrate; inner radius 1.85 cm clears 1.8 cm TES active footprint, so the requested 1 cm ring was reduced because it would cover active TES area.",User support-frame request + Cu-64 mitigation,"{""x_center_cm"": 2.15, ""r_in_cm"": 1.85, ""r_out_cm"": 2.2, ""thickness_cm"": 0.3, ""axis_y_cm"": 0.0, ""axis_z_cm"": -5.2, ""behind_substrate"": true, ""clearance_logic"": ""inner radius 1.85 cm clears TES active radius 1.80 cm""}"
C008,Cu_SubstrateSupport_SolidDisk_L0_deepest,thermal_link,Copper,x_disc,5.32185795518111,0.047683847278422745,Single solid Cu disk behind the deepest/downstream substrate only; shifted downstream to keep an explicit 0.5 mm gap to the final Si substrate.,Gives the stack a real thermal/mechanical anchor without putting a Cu disk in front of active absorber layers.,3.5 mm disk follows the requested 3-4 mm support disk; downstream face clearance to the last substrate is 0.05 cm.,User support-frame request + Cu-64 mitigation,"{""x_center_cm"": 3.42, ""r_cm"": 2.2, ""thickness_cm"": 0.35, ""axis_y_cm"": 0.0, ""axis_z_cm"": -5.2, ""position"": ""deepest/downstream support disk, does not shadow upstream TES layers"", ""clearance_to_last_substrate_cm"": 0.05, ""last_substrate_downstream_face_cm"": 3.1950000000000003}"
C009,Cu_SubstrateSupport_EdgeRod_1,thermal_link,Copper,x_cylinder_offaxis,0.2057743188101315,0.0018437378965387786,Thin Cu edge rod linking the open support rings to the deepest support disk.,Represents the requested multi-level frame/columns while staying outside the central TES/beam footprint.,Rod radius 1.0 mm; four edge rods keep stiffness proxy but minimize Cu mass.,User support-frame request + Cu-64 mitigation,"{""r_cm"": 0.1, ""x0_cm"": -2.65, ""x1_cm"": 3.9000000000000004, ""y_center_cm"": 1.95, ""z_center_cm"": -3.25}"
C010,Cu_SubstrateSupport_EdgeRod_2,thermal_link,Copper,x_cylinder_offaxis,0.2057743188101315,0.0018437378965387786,Thin Cu edge rod linking the open support rings to the deepest support disk.,Represents the requested multi-level frame/columns while staying outside the central TES/beam footprint.,Rod radius 1.0 mm; four edge rods keep stiffness proxy but minimize Cu mass.,User support-frame request + Cu-64 mitigation,"{""r_cm"": 0.1, ""x0_cm"": -2.65, ""x1_cm"": 3.9000000000000004, ""y_center_cm"": -1.95, ""z_center_cm"": -3.25}"
