category,unit,material,density_g_cm3,volume_cm3,mass_kg,notes
substrate,Substrate_L0,Silicon,2.329,0.456159253301238,0.0010623949009385834,Si substrate mass behind TES layer.
substrate,Substrate_L1,Silicon,2.329,0.456159253301238,0.0010623949009385834,Si substrate mass behind TES layer.
substrate,Substrate_L2,Silicon,2.329,0.456159253301238,0.0010623949009385834,Si substrate mass behind TES layer.
substrate,Substrate_L3,Silicon,2.329,0.456159253301238,0.0010623949009385834,Si substrate mass behind TES layer.
substrate,Substrate_L4,Silicon,2.329,0.456159253301238,0.0010623949009385834,Si substrate mass behind TES layer.
substrate,Substrate_L5,Silicon,2.329,0.456159253301238,0.0010623949009385834,Si substrate mass behind TES layer.
detector,TES pixels (6x376),Ta,16.69,15.228,0.25415532,Ta absorber array; same footprint convention as current authority.
window,SampleBox_Al_Window,Aluminium,2.7,0.028293214854156208,7.639168010622177e-05,"Very thin Al foil placeholder; nominal only, open-aperture scan recommended."
can,Nb_SC_Detector_Can,Nb,8.57,9.65020177923861,0.0827022292480749,Open-bottom Nb superconducting can; top aperture is open in the nominal demo.
service_proxy,SQUID_Readout_Al_Box,Aluminium,2.7,2.2399999999999998,0.006048,Readout/support box proxy offset from aperture in the 4 K to 60 K radial gap.
service_proxy,Harness_Cu_Bundle_A,Copper,8.96,1.3439999999999999,0.01204224,Cu harness/strap proxy.
service_proxy,Harness_Cu_Bundle_B,Copper,8.96,1.3439999999999999,0.01204224,Cu harness/strap proxy.
service_proxy,Support_G10_Post_A,G10,1.85,0.29184000000000004,0.0005399040000000001,Low-Z support post in the 60 K shield to vacuum-jacket radial gap.
service_proxy,Support_G10_Post_B,G10,1.85,0.29184000000000004,0.0005399040000000001,Low-Z support post in the 60 K shield to vacuum-jacket radial gap.
service_proxy,Support_G10_Post_C,G10,1.85,0.29184000000000004,0.0005399040000000001,Low-Z support post in the 60 K shield to vacuum-jacket radial gap.
service_proxy,Support_G10_Post_D,G10,1.85,0.29184000000000004,0.0005399040000000001,Low-Z support post in the 60 K shield to vacuum-jacket radial gap.
shield_packaging,ActiveShield_Al_Backplane_Liner,Aluminium,2.7,362.188719245222,0.9779095419620994,Thin Al support liner/readout backplane in the radial clearance outside the segmented CsI well.
shield_packaging,ActiveShield_Top_Al_Retainer,Aluminium,2.7,2.1330157480813337,0.0057591425198196015,"Upper scintillator-retainer collar below the outer Al cover, outside the open 1.898 cm optical path."
shield_packaging,ActiveShield_Bottom_Al_Retainer,Aluminium,2.7,1.7330752953161161,0.004679303297353514,Lower scintillator-retainer collar below the CsI bottom panels and inside the outer Al cover.
shield_packaging,ActiveShield_Flex_Readout_Kapton,Kapton,1.42,136.55655035138676,0.1939103014989692,Flexible readout/cable-layer proxy on the outside of the CsI package.
shield_packaging,ActiveShield_Readout_Box_XP,Aluminium,2.7,6.115200000000001,0.01651104,External active-shield readout/electronics box proxy outside the outer Al cover.
shield_packaging,ActiveShield_Readout_Box_XM,Aluminium,2.7,6.115200000000001,0.01651104,External active-shield readout/electronics box proxy outside the outer Al cover.
shield_packaging,ActiveShield_Readout_Box_YP,Aluminium,2.7,6.115200000000001,0.01651104,External active-shield readout/electronics box proxy outside the outer Al cover.
shield_packaging,ActiveShield_Readout_Box_YM,Aluminium,2.7,6.115200000000001,0.01651104,External active-shield readout/electronics box proxy outside the outer Al cover.
shield_packaging,Shield_Feedthrough_Stainless_XP,StainlessSteel,8.0,0.311808,0.0024944639999999996,Small stainless feedthrough/connector proxy outside the active-shield cover.
